"Data"	"t_value"	"FDR"	"pvalue"
gi|29029549|ref|NM_017424.2| Homo sapiens cat eye syndrome chromosome region, candidate 1 (CECR1), transcript variant 1, mRNA	c(t = 2.08651456337054)	0.406836026949255	0.0492637366340942
gi|345525396|ref|NR_038398.2| Homo sapiens cat eye syndrome chromosome region, candidate 3 (non-protein coding) (CECR3), non-coding RNA	c(t = -0.507679658680072)	0.919345734031624	0.61688516709832
gi|270132321|ref|NM_031413.3| Homo sapiens cat eye syndrome chromosome region, candidate 2 (CECR2), mRNA	c(t = -1.31026499087469)	0.675303438915537	0.205278237126445
gi|87159815|ref|NM_001039366.1| Homo sapiens ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1 (ATP6V1E1), transcript variant 2, mRNA	c(t = -0.136920144261102)	0.965272123557641	0.892491166835094
gi|87159814|ref|NM_001696.3| Homo sapiens ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1 (ATP6V1E1), transcript variant 1, mRNA	c(t = 0.702837919090647)	0.892099715313907	0.489725457467296
gi|398707252|ref|NM_015367.3| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 1, mRNA	c(t = 1.14845367219147)	0.7343251098025	0.263659940698428
gi|398775379|ref|NM_001270731.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 7, mRNA	c(t = 0.580885813972641)	0.914839559570677	0.567248946506787
gi|398775088|ref|NM_001270729.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 5, mRNA	c(t = -0.00924847271402762)	0.998068529222563	0.992713660321483
gi|398777064|ref|NM_001270735.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 11, mRNA	c(t = -1.27941323000739)	0.675303438915537	0.214655278349517
gi|398774965|ref|NM_001270728.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 4, mRNA	c(t = 0.0355313949798119)	0.991069910914957	0.971977495818521
gi|398774578|ref|NM_001270726.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 2, mRNA	c(t = 0.266052278299264)	0.951501443069003	0.793195598775561
gi|398775209|ref|NM_001270730.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 6, mRNA	c(t = 1.5270141179242)	0.610167496192574	0.141054482482346
gi|398776655|ref|NR_073069.1| Homo sapiens BCL2-like 13 (apoptosis facilitator) (BCL2L13), transcript variant 13, non-coding RNA	c(t = 3.06033717334283)	0.171079863924128	0.0059922894544353
gi|347300412|ref|NM_197967.2| Homo sapiens BH3 interacting domain death agonist (BID), transcript variant 3, mRNA	c(t = -0.798046742061193)	0.875619718908057	0.433434390458472
gi|347300415|ref|NM_001244569.1| Homo sapiens BH3 interacting domain death agonist (BID), transcript variant 5, mRNA	c(t = 0.485058724403839)	0.929911222391192	0.633512198791898
gi|347300421|ref|NM_197966.2| Homo sapiens BH3 interacting domain death agonist (BID), transcript variant 1, mRNA	c(t = -0.978285430591239)	0.789786091076219	0.338874942755996
gi|301171814|ref|NR_036168.1| Homo sapiens microRNA 3198-1 (MIR3198-1), microRNA	c(t = 0.477773796063656)	0.932429456938785	0.637542200798844
gi|209862788|ref|NM_015241.2| Homo sapiens microtubule associated monooxygenase, calponin and LIM domain containing 3 (MICAL3), transcript variant 1, mRNA	c(t = 1.17320264851174)	0.730443354978913	0.2574553225394
gi|170172517|ref|NM_001122731.1| Homo sapiens microtubule associated monooxygenase, calponin and LIM domain containing 3 (MICAL3), transcript variant 3, mRNA	c(t = -0.922857839052538)	0.826812126878183	0.366225569649544
gi|209862792|ref|NM_001136004.1| Homo sapiens microtubule associated monooxygenase, calponin and LIM domain containing 3 (MICAL3), transcript variant 2, mRNA	c(t = -0.526849176951341)	0.914839559570677	0.604071523431491
gi|262206229|ref|NR_030378.1| Homo sapiens microRNA 648 (MIR648), microRNA	c(t = 0.865813910714945)	0.843769384370874	0.396024859914876
gi|313482833|ref|NM_001199319.1| Homo sapiens peroxisomal biogenesis factor 26 (PEX26), transcript variant 3, mRNA	c(t = -0.253219060562374)	0.952578015344774	0.803007402349699
gi|313482832|ref|NM_001127649.2| Homo sapiens peroxisomal biogenesis factor 26 (PEX26), transcript variant 2, mRNA	c(t = -0.535835581924956)	0.914839559570677	0.597753842696762
gi|301171344|ref|NM_001193414.1| Homo sapiens tubulin, alpha 8 (TUBA8), transcript variant 2, mRNA	c(t = -0.671401943748771)	0.898413397177349	0.509638533425479
gi|156071510|ref|NM_017414.3| Homo sapiens ubiquitin specific peptidase 18 (USP18), mRNA	c(t = 1.05181620086631)	0.768529272587385	0.305527399084652
gi|117940050|ref|NR_003267.1| Homo sapiens gamma-glutamyltransferase 3 pseudogene (GGT3P), non-coding RNA	c(t = -1.00183054256029)	0.785502469543599	0.330083003619705
gi|304766735|ref|NM_016335.4| Homo sapiens proline dehydrogenase (oxidase) 1 (PRODH), transcript variant 1, mRNA	c(t = 1.0566152342678)	0.768529272587385	0.303100816940392
gi|304766646|ref|NM_001195226.1| Homo sapiens proline dehydrogenase (oxidase) 1 (PRODH), transcript variant 2, mRNA	c(t = 0.350938789266744)	0.946426178947452	0.729354206760979
gi|345842381|ref|NR_002733.2| Homo sapiens DiGeorge syndrome critical region gene 5 (non-protein coding) (DGCR5), transcript variant 1, non-coding RNA	c(t = -1.0618619593601)	0.768428954866023	0.300104477994962
gi|345842382|ref|NR_045121.1| Homo sapiens DiGeorge syndrome critical region gene 5 (non-protein coding) (DGCR5), transcript variant 2, non-coding RNA	c(t = -0.323223206178422)	0.946426178947452	0.750948417006325
gi|205830460|ref|NR_024159.1| Homo sapiens DiGeorge syndrome critical region gene 9 (DGCR9), non-coding RNA	c(t = -0.630460375970215)	0.899793267550646	0.53577882831387
gi|291084738|ref|NM_001173534.1| Homo sapiens DiGeorge syndrome critical region gene 2 (DGCR2), transcript variant 3, mRNA	c(t = -1.31228085778309)	0.675303438915537	0.203623012838668
gi|296278247|ref|NR_033674.1| Homo sapiens DiGeorge syndrome critical region gene 2 (DGCR2), transcript variant 5, non-coding RNA	c(t = -1.02356227683586)	0.776841711299171	0.318355447362533
gi|126362976|ref|NM_022719.2| Homo sapiens DiGeorge syndrome critical region gene 14 (DGCR14), mRNA	c(t = -0.693163315591037)	0.892544838912548	0.495460579519063
gi|194294512|ref|NM_053006.4| Homo sapiens testis-specific serine kinase 2 (TSSK2), mRNA	c(t = 0.557122743856018)	0.914839559570677	0.583149561974142
gi|374717342|ref|NM_001256534.1| Homo sapiens solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1 (SLC25A1), transcript variant 3, mRNA	c(t = -0.217364035088393)	0.957284906359779	0.82993547700693
gi|242246984|ref|NM_007098.3| Homo sapiens clathrin, heavy chain-like 1 (CLTCL1), transcript variant 1, mRNA	c(t = -0.20666644842332)	0.957284906359779	0.838194232463265
gi|21536484|ref|NM_003325.3| Homo sapiens histone cell cycle regulator (HIRA), mRNA	c(t = 1.12492830631538)	0.736752157025957	0.272785597096052
gi|26638658|ref|NM_003776.2| Homo sapiens mitochondrial ribosomal protein L40 (MRPL40), mRNA	c(t = 0.492396741746432)	0.925622504959815	0.627348352748596
gi|261278355|ref|NM_001166242.1| Homo sapiens chromosome 22 open reading frame 39 (C22orf39), transcript variant 2, mRNA	c(t = 1.65101740114967)	0.564970321350272	0.11576449666897
gi|241982784|ref|NM_001035247.2| Homo sapiens ubiquitin fusion degradation 1 like (yeast) (UFD1L), transcript variant 2, mRNA	c(t = 0.129392986370574)	0.965988285980521	0.898318353512534
gi|523498706|ref|NM_001178010.2| Homo sapiens cell division cycle 45 (CDC45), transcript variant 1, mRNA	c(t = -1.42694376900358)	0.655086331980207	0.167996644380202
gi|523498708|ref|NM_003504.4| Homo sapiens cell division cycle 45 (CDC45), transcript variant 2, mRNA	c(t = 0.407543962823937)	0.944114518505574	0.687831242904236
gi|523498707|ref|NM_001178011.2| Homo sapiens cell division cycle 45 (CDC45), transcript variant 3, mRNA	c(t = 1.32005669643184)	0.675303438915537	0.201078764851253
gi|195947373|ref|NM_001130861.1| Homo sapiens claudin 5 (CLDN5), transcript variant 1, mRNA	c(t = 0.458694227332966)	0.932429456938785	0.651091317759094
gi|211971054|ref|NR_024381.1| Homo sapiens long intergenic non-protein coding RNA 895 (LINC00895), non-coding RNA	c(t = 0.416712020294968)	0.944114518505574	0.682353216876642
gi|313151241|ref|NR_037611.1| Homo sapiens SEPT5-GP1BB readthrough (SEPT5-GP1BB), non-coding RNA	c(t = -1.09099900631277)	0.755143443459661	0.288303451268312
gi|313151234|ref|NM_001009939.2| Homo sapiens septin 5 (SEPT5), transcript variant 2, mRNA	c(t = 2.37057815320812)	0.308751717172619	0.0270360522918231
gi|313151242|ref|NR_037612.1| Homo sapiens SEPT5-GP1BB readthrough (SEPT5-GP1BB), non-coding RNA	c(t = 0.632016439957443)	0.899672654176512	0.534131400640696
gi|90193628|ref|NM_000407.4| Homo sapiens glycoprotein Ib (platelet), beta polypeptide (GP1BB), mRNA	c(t = 0.65083388129905)	0.898413397177349	0.521900914393813
gi|18104949|ref|NM_080646.1| Homo sapiens T-box 1 (TBX1), transcript variant A, mRNA	c(t = -0.749573666640235)	0.883629920587992	0.46262458770742
gi|126157511|ref|NM_053004.2| Homo sapiens guanine nucleotide binding protein (G protein), beta polypeptide 1-like (GNB1L), mRNA	c(t = -0.0634411089401516)	0.980304989304017	0.950154188032338
gi|87196331|ref|NM_006440.3| Homo sapiens thioredoxin reductase 2 (TXNRD2), mRNA	c(t = -1.05557047841351)	0.768529272587385	0.303374575835768
gi|205830450|ref|NM_001135161.1| Homo sapiens catechol-O-methyltransferase (COMT), transcript variant 2, mRNA	c(t = 0.132403944286182)	0.965272123557641	0.895893300451384
gi|205830452|ref|NM_001135162.1| Homo sapiens catechol-O-methyltransferase (COMT), transcript variant 3, mRNA	c(t = -6.28403911479)	0.00210239004054386	3.68194402897349e-06
gi|205830454|ref|NM_007310.2| Homo sapiens catechol-O-methyltransferase (COMT), transcript variant 4, mRNA	c(t = 0.323885505882727)	0.946426178947452	0.749389038860455
gi|337756893|ref|NR_039918.1| Homo sapiens microRNA 4761 (MIR4761), microRNA	c(t = -0.132353500004293)	0.965272123557641	0.895961865999211
gi|299829181|ref|NM_001670.2| Homo sapiens armadillo repeat gene deleted in velocardiofacial syndrome (ARVCF), mRNA	c(t = -0.364137924288223)	0.946426178947452	0.719322093056704
gi|190570175|ref|NM_152906.4| Homo sapiens transport and golgi organization 2 homolog (Drosophila) (TANGO2), mRNA	c(t = 1.43769398573348)	0.655086331980207	0.164757795720425
gi|298358603|ref|NM_022720.6| Homo sapiens DGCR8 microprocessor complex subunit (DGCR8), transcript variant 1, mRNA	c(t = 0.015228989891442)	0.998068529222563	0.987989586288083
gi|298358597|ref|NM_001190326.1| Homo sapiens DGCR8 microprocessor complex subunit (DGCR8), transcript variant 2, mRNA	c(t = 0.704346601170385)	0.892099715313907	0.489135984099837
gi|312147419|ref|NR_037412.1| Homo sapiens microRNA 3618 (MIR3618), microRNA	c(t = -2.71877849091153)	0.247320959303921	0.0125609594042272
gi|269847524|ref|NR_031706.1| Homo sapiens microRNA 1306 (MIR1306), microRNA	c(t = -2.5274189735711)	0.288428131210554	0.0191948668756586
gi|384229062|ref|NM_182984.4| Homo sapiens tRNA methyltransferase 2 homolog A (S. cerevisiae) (TRMT2A), transcript variant 2, mRNA	c(t = 0.981640538497169)	0.789786091076219	0.338447506925669
gi|384229061|ref|NM_022727.5| Homo sapiens tRNA methyltransferase 2 homolog A (S. cerevisiae) (TRMT2A), transcript variant 1, mRNA	c(t = 0.549139101834357)	0.914839559570677	0.589106095403098
gi|520975480|ref|NM_002882.3| Homo sapiens RAN binding protein 1 (RANBP1), transcript variant 2, mRNA	c(t = 0.358604903807406)	0.946426178947452	0.723880145087893
gi|297206815|ref|NM_013373.3| Homo sapiens zinc finger, DHHC-type containing 8 (ZDHHC8), transcript variant 2, mRNA	c(t = -0.100208717753279)	0.972026388883701	0.921113966723476
gi|336285276|ref|NR_038460.1| Homo sapiens uncharacterized LOC284865 (LOC284865), non-coding RNA	c(t = 0.286021834059268)	0.949312629310078	0.777930831617035
gi|223941895|ref|NR_026919.1| Homo sapiens long intergenic non-protein coding RNA 896 (LINC00896), non-coding RNA	c(t = -2.08072469457276)	0.406836026949255	0.0497219797522449
gi|47519383|ref|NM_023004.5| Homo sapiens reticulon 4 receptor (RTN4R), mRNA	c(t = 0.325394599446777)	0.946426178947452	0.747986718160636
gi|301601622|ref|NM_033257.3| Homo sapiens DiGeorge syndrome critical region gene 6-like (DGCR6L), mRNA	c(t = -1.7591161195155)	0.506585288196742	0.0925424725368203
gi|334085263|ref|NM_001242313.1| Homo sapiens transmembrane protein 191B (TMEM191B), mRNA	c(t = 2.48929813609357)	0.291899292900573	0.0213739006993784
gi|148539559|ref|NR_003563.1| Homo sapiens phosphatidylinositol 4-kinase, catalytic, alpha pseudogene 1 (PI4KAP1), non-coding RNA	c(t = -1.2265395385342)	0.707909187775293	0.236142066145626
gi|153792194|ref|NM_015672.1| Homo sapiens RIMS binding protein 3 (RIMBP3), mRNA	c(t = -0.27494944726475)	0.949312629310078	0.785933668874038
gi|374671825|ref|NR_046282.1| Homo sapiens zinc finger protein 74 (ZNF74), transcript variant 5, non-coding RNA	c(t = 1.91433753945055)	0.457029343870522	0.0688345421591329
gi|374670659|ref|NM_003426.3| Homo sapiens zinc finger protein 74 (ZNF74), transcript variant 1, mRNA	c(t = 0.528125003817018)	0.914839559570677	0.602825923622628
gi|374671818|ref|NM_001256523.1| Homo sapiens zinc finger protein 74 (ZNF74), transcript variant 2, mRNA	c(t = 0.344367861030183)	0.946426178947452	0.733886909768566
gi|310923193|ref|NM_182895.2| Homo sapiens scavenger receptor class F, member 2 (SCARF2), transcript variant 2, mRNA	c(t = -0.216307272306579)	0.957284906359779	0.830831300381429
gi|310923192|ref|NM_153334.4| Homo sapiens scavenger receptor class F, member 2 (SCARF2), transcript variant 1, mRNA	c(t = 1.41237670321851)	0.655714589884856	0.17183352127931
gi|299758460|ref|NM_032775.3| Homo sapiens kelch-like family member 22 (KLHL22), transcript variant 1, mRNA	c(t = 0.716056795757389)	0.891628479150091	0.481508170769927
gi|51477699|ref|NM_001003891.1| Homo sapiens mediator complex subunit 15 (MED15), transcript variant 1, mRNA	c(t = 0.951654913230982)	0.814167132945686	0.353613746007933
gi|51477698|ref|NM_015889.3| Homo sapiens mediator complex subunit 15 (MED15), transcript variant 2, mRNA	c(t = -1.82776202995528)	0.486430081585105	0.0812439402139123
gi|219555643|ref|NM_005207.3| Homo sapiens v-crk avian sarcoma virus CT10 oncogene homolog-like (CRKL), mRNA	c(t = -1.30394697858988)	0.675303438915537	0.208543391858877
gi|226437565|ref|NM_144704.2| Homo sapiens apoptosis-inducing factor, mitochondrion-associated, 3 (AIFM3), transcript variant 1, mRNA	c(t = -1.40526689645976)	0.655714589884856	0.17421461970692
gi|226437566|ref|NM_001018060.2| Homo sapiens apoptosis-inducing factor, mitochondrion-associated, 3 (AIFM3), transcript variant 2, mRNA	c(t = -0.0706885938949246)	0.978565841097544	0.944290330025826
gi|226437567|ref|NM_001146288.1| Homo sapiens apoptosis-inducing factor, mitochondrion-associated, 3 (AIFM3), transcript variant 3, mRNA	c(t = 0.538631606976364)	0.914839559570677	0.595578377464729
gi|226437569|ref|NR_027464.1| Homo sapiens apoptosis-inducing factor, mitochondrion-associated, 3 (AIFM3), transcript variant 4, non-coding RNA	c(t = 0.71335974789445)	0.891628479150091	0.483147115466314
gi|56788350|ref|NM_001008695.1| Homo sapiens THAP domain containing 7 (THAP7), transcript variant 2, mRNA	c(t = -0.365435922707781)	0.946426178947452	0.719019079475843
gi|224451064|ref|NR_027051.1| Homo sapiens THAP7 antisense RNA 1 (THAP7-AS1), transcript variant 1, non-coding RNA	c(t = 2.31966541988137)	0.339184371920033	0.0308652885751203
gi|153070786|ref|NR_003608.1| Homo sapiens tubulin, alpha 3f, pseudogene (TUBA3FP), non-coding RNA	c(t = -0.817081032982668)	0.874004149374242	0.425043631163807
gi|157419147|ref|NM_005446.3| Homo sapiens purinergic receptor P2X, ligand-gated ion channel, 6 (P2RX6), transcript variant 1, mRNA	c(t = 0.274615673642868)	0.949312629310078	0.786325466200709
gi|110347452|ref|NM_004173.2| Homo sapiens solute carrier family 7, member 4 (SLC7A4), mRNA	c(t = -0.177022369230179)	0.958666712703286	0.861289008085439
gi|84872110|ref|NR_002829.1| Homo sapiens purinergic receptor P2X, ligand-gated ion channel, 6 pseudogene (P2RX6P), non-coding RNA	c(t = -0.740842790047167)	0.883629920587992	0.467348924724297
gi|224177541|ref|NR_027006.1| Homo sapiens chromosome 14 open reading frame 166B pseudogene (LOC400891), non-coding RNA	c(t = -0.878693383380775)	0.838541263443464	0.392102482205613
gi|312284076|ref|NR_037566.1| Homo sapiens breakpoint cluster region pseudogene 2 (BCRP2), non-coding RNA	c(t = -0.342928858109477)	0.946426178947452	0.735216380866254
gi|218082838|ref|NR_024583.1| Homo sapiens POM121 transmembrane nucleoporin-like 8 pseudogene (POM121L8P), non-coding RNA	c(t = 1.28327112346477)	0.675303438915537	0.212926060134941
gi|191252813|ref|NM_001128635.1| Homo sapiens RIMS binding protein 3B (RIMBP3B), mRNA	c(t = -2.76048173794587)	0.24040333289796	0.0114773891319413
gi|139394598|ref|NM_015094.2| Homo sapiens hypermethylated in cancer 2 (HIC2), mRNA	c(t = -0.142778156967975)	0.965272123557641	0.887933711411333
gi|333440472|ref|NM_001207052.1| Homo sapiens transmembrane protein 191C (TMEM191C), mRNA	c(t = 0.208859258641394)	0.957284906359779	0.836566827591952
gi|156231038|ref|NR_003700.1| Homo sapiens phosphatidylinositol 4-kinase, catalytic, alpha pseudogene 2 (PI4KAP2), non-coding RNA	c(t = 0.18758314450244)	0.958322479179748	0.852927431650816
gi|191252805|ref|NM_001128633.1| Homo sapiens RIMS binding protein 3C (RIMBP3C), mRNA	c(t = 0.0976517949646594)	0.972026388883701	0.923093018732228
gi|373432683|ref|NM_001256355.1| Homo sapiens ubiquitin-conjugating enzyme E2L 3 (UBE2L3), transcript variant 4, mRNA	c(t = -0.43004838119231)	0.944114518505574	0.672061353223805
gi|373432686|ref|NR_028436.2| Homo sapiens ubiquitin-conjugating enzyme E2L 3 (UBE2L3), transcript variant 2, non-coding RNA	c(t = -0.365317712791903)	0.946426178947452	0.718366861253834
gi|373432685|ref|NM_003347.3| Homo sapiens ubiquitin-conjugating enzyme E2L 3 (UBE2L3), transcript variant 1, mRNA	c(t = -2.19349535892507)	0.367589300775677	0.0406482367524362
gi|373432681|ref|NM_001256356.1| Homo sapiens ubiquitin-conjugating enzyme E2L 3 (UBE2L3), transcript variant 3, mRNA	c(t = 0.120089366960256)	0.968537790138241	0.905777898307917
gi|56243532|ref|NM_022044.2| Homo sapiens stromal cell-derived factor 2-like 1 (SDF2L1), mRNA	c(t = 1.95311317135927)	0.448668766231557	0.0644322921733585
gi|262206174|ref|NR_030622.1| Homo sapiens microRNA 301b (MIR301B), microRNA	c(t = -0.693696450676786)	0.892544838912548	0.495303434302791
gi|262206125|ref|NR_029845.1| Homo sapiens microRNA 130b (MIR130B), microRNA	c(t = 0.513004170622963)	0.919345734031624	0.613376746052181
gi|148271089|ref|NM_014337.3| Homo sapiens peptidylprolyl isomerase (cyclophilin)-like 2 (PPIL2), transcript variant 1, mRNA	c(t = 3.3928882747135)	0.125904483919441	0.00264597864629299
gi|148271090|ref|NM_148175.2| Homo sapiens peptidylprolyl isomerase (cyclophilin)-like 2 (PPIL2), transcript variant 2, mRNA	c(t = 0.736706657596383)	0.886228470411304	0.470275352950307
gi|40549458|ref|NM_013313.3| Homo sapiens yippee-like 1 (Drosophila) (YPEL1), mRNA	c(t = 0.0791194123642051)	0.978565841097544	0.937686311493925
gi|75709178|ref|NM_002745.4| Homo sapiens mitogen-activated protein kinase 1 (MAPK1), transcript variant 1, mRNA	c(t = -1.04216261074062)	0.770875004053532	0.310510071685311
gi|75709179|ref|NM_138957.2| Homo sapiens mitogen-activated protein kinase 1 (MAPK1), transcript variant 2, mRNA	c(t = -1.65404520947248)	0.559923998388035	0.113749884085836
gi|303519166|ref|NM_014634.3| Homo sapiens protein phosphatase, Mg2+/Mn2+ dependent, 1F (PPM1F), mRNA	c(t = -1.09758919804003)	0.752814180546029	0.285530162627232
gi|38202248|ref|NM_080764.2| Homo sapiens zinc finger protein 280B (ZNF280B), mRNA	c(t = 0.844529744047106)	0.857657591595257	0.408770949043644
gi|45269155|ref|NM_080740.3| Homo sapiens zinc finger protein 280A (ZNF280A), mRNA	c(t = 0.210662727663085)	0.957284906359779	0.835098581850928
gi|46249365|ref|NM_006115.3| Homo sapiens preferentially expressed antigen in melanoma (PRAME), transcript variant 1, mRNA	c(t = -0.132337052652129)	0.965272123557641	0.895954548957513
gi|46249372|ref|NM_206956.1| Homo sapiens preferentially expressed antigen in melanoma (PRAME), transcript variant 5, mRNA	c(t = -0.892834738124791)	0.838541263443464	0.381728900620166
gi|46249370|ref|NM_206955.1| Homo sapiens preferentially expressed antigen in melanoma (PRAME), transcript variant 4, mRNA	c(t = -0.837498591785466)	0.857657591595257	0.411555481781261
gi|225903433|ref|NR_027426.1| Homo sapiens uncharacterized LOC648691 (LOC648691), non-coding RNA	c(t = 1.47156487640936)	0.646685366537523	0.156291734819927
gi|218083753|ref|NR_024591.1| Homo sapiens POM121 transmembrane nucleoporin-like 1, pseudogene (POM121L1P), non-coding RNA	c(t = 0.608033179672822)	0.90987094942724	0.549746895888612
gi|295986607|ref|NM_001178126.1| Homo sapiens immunoglobulin lambda-like polypeptide 5 (IGLL5), transcript variant 1, mRNA	c(t = 1.33175744450792)	0.671365259609464	0.196574176159999
gi|31795534|ref|NM_004914.2| Homo sapiens RAB36, member RAS oncogene family (RAB36), mRNA	c(t = -2.81043008361554)	0.22434550080858	0.0102153818231578
gi|82546842|ref|NM_004327.3| Homo sapiens breakpoint cluster region (BCR), transcript variant 1, mRNA	c(t = -0.808450894475624)	0.874233555041952	0.428695963943514
gi|82546844|ref|NM_021574.2| Homo sapiens breakpoint cluster region (BCR), transcript variant 2, mRNA	c(t = -1.80617378866813)	0.486430081585105	0.0848295975681788
gi|291463309|ref|NR_033408.1| Homo sapiens F-box and WD repeat domain containing 4 pseudogene 1 (FBXW4P1), non-coding RNA	c(t = 1.62002111437451)	0.565191694097891	0.121739865205116
gi|390979654|ref|NM_152855.2| Homo sapiens immunoglobulin lambda-like polypeptide 1 (IGLL1), transcript variant 2, mRNA	c(t = 0.228579793910284)	0.957284906359779	0.821368474038186
gi|390979652|ref|NM_020070.3| Homo sapiens immunoglobulin lambda-like polypeptide 1 (IGLL1), transcript variant 1, mRNA	c(t = 1.66415707934065)	0.552058102943898	0.111185082028981
gi|303523894|ref|NM_016449.3| Homo sapiens chromosome 22 open reading frame 43 (C22orf43), mRNA	c(t = 0.530836295485067)	0.914839559570677	0.600971160080121
gi|221136789|ref|NR_024448.2| Homo sapiens glucuronidase, beta pseudogene 11 (GUSBP11), non-coding RNA	c(t = 1.14404712638722)	0.7343251098025	0.264922894254492
gi|23957679|ref|NM_153615.1| Homo sapiens ral guanine nucleotide dissociation stimulator-like 4 (RGL4), mRNA	c(t = -2.33055952241289)	0.339184371920033	0.0313379806353851
gi|31340618|ref|NM_021916.2| Homo sapiens zinc finger protein 70 (ZNF70), mRNA	c(t = -0.0747450088065875)	0.978565841097544	0.941114479755659
gi|206597510|ref|NM_013378.2| Homo sapiens pre-B lymphocyte 3 (VPREB3), mRNA	c(t = -0.728416672409201)	0.887950145959785	0.474299114742092
gi|194272213|ref|NM_182520.2| Homo sapiens chromosome 22 open reading frame 15 (C22orf15), mRNA	c(t = -0.686193688417637)	0.893103488617804	0.50066741529774
gi|47497975|ref|NM_213720.1| Homo sapiens coiled-coil-helix-coiled-coil-helix domain containing 10 (CHCHD10), mRNA	c(t = 1.40179448531548)	0.655714589884856	0.175076776130651
gi|58331147|ref|NM_005940.3| Homo sapiens matrix metallopeptidase 11 (stromelysin 3) (MMP11), mRNA	c(t = -1.81957531721481)	0.486430081585105	0.0825858412782816
gi|55956799|ref|NM_003073.3| Homo sapiens SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1 (SMARCB1), transcript variant 1, mRNA	c(t = 1.97354786069328)	0.442844716053098	0.0628203537658511
gi|190684654|ref|NM_030807.3| Homo sapiens solute carrier family 2 (facilitated glucose transporter), member 11 (SLC2A11), transcript variant 1, mRNA	c(t = 2.29912332140022)	0.339184371920033	0.0314829627176212
gi|336594541|ref|NR_038911.1| Homo sapiens uncharacterized LOC284889 (LOC284889), non-coding RNA	c(t = 1.16881229136117)	0.730443354978913	0.256557485376488
gi|4505184|ref|NM_002415.1| Homo sapiens macrophage migration inhibitory factor (glycosylation-inhibiting factor) (MIF), mRNA	c(t = 1.72332791847557)	0.518764930367534	0.0993174543537064
gi|145386546|ref|NM_001080843.2| Homo sapiens glutathione S-transferase theta 2B (gene/pseudogene) (GSTT2B), mRNA	c(t = -1.21779925397312)	0.707909187775293	0.236204822921054
gi|145386558|ref|NM_001084393.1| Homo sapiens D-dopachrome tautomerase-like (DDTL), mRNA	c(t = -0.775698686232347)	0.883074364528676	0.448496612457646
